用語,定義・説明
対流圏,地表から上空約11kmまでの層。高度の増加と比例して気温が低下する。気象現象のほとんどがここで発生。1km上昇ごとに約6.5℃低下。
成層圏,上空約11km〜50kmの層。オゾン濃度が高く、高度が上がると気温が上昇。対流が発生しないため基本的に晴れ。
中間圏,上空約50km〜80kmの層。空気が薄く、高度上昇で気温低下。電離層が形成される。
熱圏,上空約80km〜500kmの最上層。高度上昇で気温が上昇し、400kmで1000℃に達するが、空気密度が極めて小さい。
圏界面,各層（対流圏・成層圏・中間圏・熱圏）の境界面の総称。
対流圏界面,対流圏と成層圏の境界。緯度や季節により高度が変化（気温が低いと低く、高いと高くなる）。
電離層,大気中の原子・分子が太陽紫外線で電離した層（約500kmまで）。電波を反射し、オーロラが発生。
カーマンライン,FAIが定義した高度100kmの仮想線。これより上空を宇宙空間と定義。
気圧,面積あたりの上空の空気の重さ。高高度では低く、低高度では高い。
標準気圧,1013.25hPaで1気圧。トリチェリの水銀柱実験により導出。
高気圧,周囲より気圧の高い場所。時計回りに風が吹き出し、下降気流が発生。天気が良くなる傾向。
低気圧,周囲より気圧の低い場所。反時計回りに風が吹き込み、上昇気流が発生。天気が悪くなることが多い。
大気の大循環,エネルギーを極へ輸送する地球規模の空気の流れ。ハドレー循環、フェレル循環、極循環で構成。
ハドレー循環,低緯度地域の直接循環。赤道で上昇、中緯度で下降。貿易風を生成。
フェレル循環,中緯度地域の間接循環。ハドレー循環と極循環により間接的に発生。偏西風を生成。日本はこの影響下。
極循環,高緯度地域の直接循環。極で下降、亜寒帯で上昇。極東風を生成。
赤道低圧帯（熱帯収束帯）,赤道付近で暖められた空気が上昇するエリア。熱帯低気圧の発生地。
中緯度高圧帯（亜熱帯高圧帯）,ハドレー循環とフェレル循環の空気が下降するエリア。小笠原気団（太平洋高気圧）の生成地。
高緯度低圧帯（亜寒帯低圧帯）,極循環とフェレル循環の風が収束するエリア。ベーリング海峡（低気圧の墓場）が位置。
極高圧帯,極付近で空気が下降するエリア。
貿易風（偏東風）,中緯度高圧帯から赤道低圧帯へ吹く東寄りの風。コリオリの力で偏向。
偏西風,中緯度高圧帯から高緯度低圧帯へ吹く西寄りの風。常に蛇行している。
極東風,極付近から亜寒帯へ吹く東寄りの風。
ジェット気流,寒気と暖気が隣接する上空に生じる風速30m/s以上の西寄りの風。
亜熱帯ジェット気流,中緯度高圧帯上空に発生。蛇行が少なく定常的。梅雨時にはヒマラヤ山脈で分裂。
寒帯前線ジェット気流,高緯度低圧帯上空に発生。強風軸南側の地上に前線が発生しやすい。冬季に風速50m/s程度。
ロスビー循環,偏西風の蛇行により南北で熱輸送を行う循環。
太陽放射,地球が吸収する太陽エネルギー。緯度により大きく変化し、赤道で最大。
地球放射,地球から放出されるエネルギー。高緯度で少ないが大きな緯度変化はない。
気圧傾度力,気圧差によって生じる力。気圧差に比例して大きくなり、風の発生原因。
コリオリの力,回転体上を移動する物体に働く見かけの力。北半球では右側、南半球では左側に働く。極で最大、赤道でゼロ。
摩擦力,空気が地面に沿って動く際に発生する、移動と逆方向の力。
遠心力,円運動する物体が受ける慣性力。円の中心から遠ざかる向きに働く。
地衡風,"気圧傾度力とコリオリの力が釣り合って吹く風。1,500m以上で等圧線が曲がっていない場所で発生。等圧線に平行。"
傾度風,等圧線が曲線の時、地衡風に遠心力が加わった風。等圧線に沿って吹く。
低気圧性循環,反時計回りの循環。気圧傾度力＝コリオリ力＋遠心力。強さに限度がない。
高気圧性循環,時計回りの循環。急激な気圧傾度増加では成立しない。
地上風,地面の摩擦力の影響を受ける風。等圧線から地上で30〜40度、海上で15〜30度傾く。
竜巻,親雲から延びる漏斗状の高速な渦巻き状上昇気流。大気不安定時に発生。
塵旋風（つむじ風）,親雲が存在しない直径数m〜数十mの渦。
海陸風,地面と海面の比熱差による気圧傾度で吹く局地風。
海風,日射で地面が暖められた時間に海から陸へ吹く風。
陸風,夜に冷えた陸から暖かい海へ吹く風。
凪（なぎ）,海風と陸風が切り替わるタイミングの無風状態。朝凪・夕凪がある。
山谷風,山の斜面と谷間の間で発生する局地風。
谷風,日中に平野部から山頂へ吹く風。
山風,夜間に山頂から平野部へ吹く風。放射冷却で冷やされた空気が吹き降りる。
風向,風が吹いてくる方向。航空気象では360度（10度単位）で表記。
風速,風が進む速度。m/sまたはkt（ノット）で表記。
平均風速,観測時間の10分前からの平均値。
瞬間風速,3秒間の平均風速。
最大瞬間風速,瞬間風速の最大値。ガストとも呼ばれる。
最大風速,平均風速の最大値。（＝１０分間平均風速の最大値）
強風,平均的に15m/s以上の風。
暴風,平均的に20m/s以上の風。
突風,急に吹く強い風で、継続時間が短い。
温度風,異なる高度間における風の鉛直シア。層間の平均温度の等温線に平行。
温度移流,風によって他温度の空気が移流すること。寒気移流と暖気移流がある。
ホドグラフ,等圧面高度別の風ベクトルを原点から描き、先端を結んだ曲線。
絶対温度（K）,熱振動がゼロになる温度を0Kとした温度。ケルビン。
摂氏（℃）,1気圧で水の凝固点を0℃、沸点を100℃とした温度。セルシウス。
華氏（℉）,水の凝固点を32℉、沸点を212℉とした温度。ファーレンハイト。
気温,大気の温度。地表から1.5m、日射から遮蔽された条件で観測。
凝結（凝縮）,気体が液体に変化すること。飽和・凝結核・外部刺激が条件。
凝結熱,凝結時に周囲へ放出される熱。+2.5×10⁶ J/kg。
蒸発,液体が気体に変化すること。
蒸発熱,蒸発時に周囲から吸収する熱。-2.5×10⁶ J/kg。
凝固,液体が固体に変化すること。0℃以下と外部刺激が条件。
過冷却水,0℃以下でも凍らずに液体を維持している水。刺激がないと凍らない。
相対湿度,空気中の水蒸気量÷飽和水蒸気量×100（%）。
飽和,空気が水蒸気を限界まで含んだ状態。湿度100%。
飽和水蒸気量,空気が含める最大水蒸気量。温度が高いと増加、低いと減少。
露点温度,飽和状態になる温度。
湿数,気温−露点温度。3℃以下で雲が発生（湿域）。
断熱膨張,空気が上昇し気圧低下で膨張、温度が下がること。
乾燥断熱減率,飽和していない空気の気温減率。1000mで約10℃低下。
湿潤断熱減率,飽和した空気の気温減率。1000mで約5℃低下（凝結熱で温められるため）。
十種雲形,世界気象機関が雲を形状・特性で10分類したもの。層状雲と対流雲に大別。
巻雲（Ci）,上層雲。氷晶構成、降水なし。温暖前線前方1000km付近に出現。
巻積雲（Cc）,上層雲。氷晶構成、降水なし。天気変化の予兆。
巻層雲（Cs）,上層雲。氷晶構成、降水なし。ハロ（暈）が発生。
高積雲（Ac）,中層雲。氷晶・水滴構成、降水なし。白〜淡灰色で規則正しく並ぶ。
高層雲（As）,中層雲。氷晶・水滴構成、降水の可能性あり。全天を覆うと影ができなくなる。
乱層雲（Ns）,中層雲。氷晶・水滴構成、降水を伴うことが多い。雨雲。
層積雲（Sc）,下層雲。水滴構成、降水の可能性あり。曇り雲、雲海として見える。
層雲（St）,下層雲。水滴構成、霧雨の可能性。霧に近い一様な雲層。
積雲（Cu）,対流雲。水滴構成、降水の可能性。上昇気流で発生。グライダーパイロットの大好物。
塔状積雲,積雲の一種。垂直に成長、大気不安定時に発生。気象通報式に登場。
雄大積雲,積雲の一種。雲上部がカリフラワー状。入道雲。
積乱雲（Cb）,対流雲。雲頂が対流圏界面に達する。落雷・大粒の雨・雹・突風・ダウンバーストを起こす。
乳房雲,雲底に乳房状の出っ張りがある雲。付近に乱気流があることが多い。
浪雲,上層風速が大きく下層水蒸気が多い時に境界付近に生じる波状の雲。タービュランスの目印。
尾流雲,雲から降水があるが途中で消える雲。折れ曲がりはウインドシア層の存在を示す。
キャップ雲（笠雲）,山頂を覆う雲。寒冷前線接近前に生成条件が整いやすい。
レンズ雲,山岳波の凸部分にできる雲。タービュランスを伴う。
ロール雲,山岳波に伴って発生する筒状の雲。
霧,地面に近く視程1km未満の雲（層雲）。
靄（もや）,地面に近く視程1〜10km未満。
放射霧（地霧）,夜間〜早朝の放射冷却で発生する霧。
放射冷却,地表面が熱を放射し温度が下がり、周囲気温も低下する現象。雲なし・風弱いが条件。
ベナール型対流,層の両面に一様な温度差がある時に小さな対流が多数現れる現象。蜂の巣状の雲。
降水現象,水蒸気が凝結し形成された液体・固体が重力で落下する現象。雨・雪・雹・霰。
併合過程,水滴や氷晶が成長する過程。大きな水滴が小さな水滴を併合。
昇華凝結,氷晶が周囲の水蒸気をくっつけて成長。
凝集,氷晶同士が衝突して成長。
ライミング,氷晶が過冷却水に衝突して成長。
雨,直径0.5mm以上の水滴からなる降水。層状性は0.5〜1mm、対流性は1〜5mm。
雪,0.5mm以上の氷晶が地上に降る現象。
霰（あられ）,直径5mm未満の氷でできた固形粒子。
雹（ひょう）,直径5mm以上の氷でできた固形粒子。激しい雷雨時に発生。
降水量,柱状立体に降りそそいだ水深（mm）。
降水強度,1時間あたりの降水量（時間雨量）。
驟雨性降水,対流雲からの一時的で雨粒が大きい降水。にわか雨。METAR/TAFでSH接頭語。
連続性降水（地雨）,層状雲からの長時間で雨粒が小さい降水。雨の強さは一定。
暖かい雨,凝結後に一度も氷晶にならず降った雨。低緯度帯で多く、日本では稀。
冷たい雨,凝結後に一度でも氷晶になった雨。日本の降水のほとんど。
雷雨,積乱雲による激しい降水と雷。
メソハイ（雷雨性高気圧）,積乱雲の下降気流で生じる高気圧。
ガストフロント（突風前線）,メソハイの冷気が水平発散し、その先頭。
ダウンバースト,強い下降気流による突風。4km以上がマクロバースト、未満がミクロバースト。
セル,個々の積乱雲やまとまった対流構造の空気塊。
シングルセル（気団性雷雨）,晴れた夏の昼過ぎに発生。寿命1時間未満。
マルチセル型巨大雷雨,多数のセルで組織化。自己増殖で活動時間が長い。線状降水帯もこの一種。
スーパーセル型巨大雷雨,巨大な1つの積乱雲。日本では稀。上昇流と下降流が同時存在。
大気の安定,空気を上昇させると元の高度に戻る状態。
大気の中立,空気を上昇させるとその場で静止する状態。
大気の不安定,空気を上昇させるとさらに上昇する状態。
絶対安定,飽和の有無に関わらず対流が起きない状態。
条件付き不安定,飽和時のみ対流が発生する状態。湿潤断熱減率では対流発生。
絶対不安定,飽和の有無に関わらず対流が起きる状態。
フェーン現象,風下側の山麓が風上側より気温が高くなる現象。熱力学的と力学的の2種類。
